event_ID,order,figure,dialogue,background,figur_show,BGM,sfx,vfx,next_event,UID,Anchor
a05_dialogue,28,琉璃,喜歡、啊啊……啊、啊、啊、最喜歡了,,,,,,,a05_dialogue_28,
a05_dialogue,29,系統,琉璃的嬌喘聲不斷的在耳邊環繞著，也證明了我是最能帶給琉璃快感的男人,,,,,,,a05_dialogue_29,
a05_dialogue,30,玩家,琉璃，我愛你，不管你變成什麼樣子我都會愛著你,,,,,,,a05_dialogue_30,
a05_dialogue,31,玩家,雖然我知道你還在迷惘著，但就放心交給我吧,,,,,,,a05_dialogue_31,
a05_dialogue,32,玩家,如今的我已經不能沒有你了，成為我的女人吧！,,,,,,,a05_dialogue_32,
a05_dialogue,33,琉璃,嗯……啊嗯……！我知道了啦……突然又來如此熱烈的告白,,,,,,,a05_dialogue_33,
a05_dialogue,34,琉璃,（這個人是都不會害羞的嗎……？）,,,,,,,a05_dialogue_34,
a05_dialogue,35,琉璃,你已經合格了啦……琉璃的命運就交付給你選擇了,,,,,,,a05_dialogue_35,
a05_dialogue,36,琉璃,不管你做出哪個選擇，只要有你在，琉璃肯定都能獲得幸福吧……,,,,,,,a05_dialogue_36,
a05_dialogue,37,琉璃,（如果那個夜裡的琉璃已經遇到了你，肯定就不會如此輕易的被我佔據吧）,,,,,,,a05_dialogue_37,
a05_dialogue,38,琉璃,做出你的選擇吧，不管怎樣我都會尊重並毫無保留的接受你的告白,,,,,,,a05_dialogue_38,
a05_dialogue,39,系統,隨著腰部的扭動，琉璃的陰道也緊緊的吸住我的肉棒,,,,,,,a05_dialogue_39,
a05_dialogue,40,系統,我也因為帶來的快感，終於忍不住想要射精的慾望……,,,,,,,a05_dialogue_40,
a05_dialogue,41,琉璃,啊嗯……嗯嗯……將你的全部射出來吧……,,,,,,,a05_dialogue_41,
a05_dialogue,42,琉璃,啊啊啊……啊嗯、嗯、嗯、啊……,,,,,,,a05_dialogue_42,
a05_dialogue,43,琉璃,啊嗯……去了……！,,,,,,a06_dialogue,a05_dialogue_43,
a06_dialogue,1,選項,（射在裡面）,CG2,None,lyrical,sex_sfx,,a07_dialogue,a06_dialogue_1,Jump
a06_dialogue,2,選項,（射在外面）,,,,,,a08_dialogue,a06_dialogue_2,
a07_dialogue,1,系統,我因為快感而將體內所留存的精液一滴不剩的射往琉璃的深處,,,,Stop,白屏閃現,,a07_dialogue_1,
a07_dialogue,2,琉璃,啊……啊啊……嗯嗯啊！,,,,,,,a07_dialogue_2,
a07_dialogue,3,琉璃,呼嗯……哈嗯、嗯……,練習室,琉璃立繪3,end,,黑屏轉場,,a07_dialogue_3,
a07_dialogue,4,系統,接受了大量精液的琉璃，露出了滿足了笑容，但那笑容中似乎也帶了點憂傷,,,,,,,a07_dialogue_4,
a07_dialogue,5,琉璃,呼……這就是你的選擇嗎，我知道了,,,,,,,a07_dialogue_5,
a07_dialogue,6,琉璃,這孩子就交給你了……,,,,,,,a07_dialogue_6,
a07_dialogue,7,琉璃,好好照顧她，不要再讓她因為挫折而陷入絕望中了,,,,,,,a07_dialogue_7,
a07_dialogue,8,琉璃,再見了……,,,,,,,a07_dialogue_8,
a07_dialogue,9,系統,隨後琉璃在我的懷中昏了過去，醒過來的她已經不記得之前所發生的事了,黑背景,None,,,黑屏轉場,,a07_dialogue_9,
a07_dialogue,10,系統,囂張的性格也消失無蹤，但本質還是那個為了夢想努力的女孩,,,,,,,a07_dialogue_10,
a07_dialogue,11,系統,可以看出原本被複製人所佔據的她，如今已恢復成了原本的琉璃,,,,,,,a07_dialogue_11,
a07_dialogue,12,系統,但感到混亂的琉璃卻異常的依賴著我，也代表她的身體或許已經在無意間將我視為能夠安心的存在了吧,,,,,,,a07_dialogue_12,
a07_dialogue,13,系統,相信在經過休養過後，琉璃肯定能夠重回舞台，並再度追隨著自己的夢想,,,,,,,a07_dialogue_13,
a07_dialogue,14,系統,即便發生任何事情，如今的琉璃也已經有了支撐她的存在,,,,,,,a07_dialogue_14,
a07_dialogue,15,系統,我也會不斷的聲援她、陪伴在她身邊，不再被奇怪的東西給纏上,,,,,,,a07_dialogue_15,
a07_dialogue,16,系統,將她推向自己夢想中，那舞台上最亮眼的一顆星……,,,,,,END1,a07_dialogue_16,
a08_dialogue,1,系統,在即將射出來的時候，我將陰莖拔出了琉璃的小穴,,,,Stop,白屏閃現,,a08_dialogue_1,
a08_dialogue,2,系統,滾燙的精液噴灑在了琉璃的身體上，將琉璃的身體染上了白色,,,,,,,a08_dialogue_2,
a08_dialogue,3,琉璃,啊……啊啊……嗯嗯啊！,,,,,,,a08_dialogue_3,
a08_dialogue,4,琉璃,呼嗯……哈嗯、好舒服……,,,,,,,a08_dialogue_4,
a08_dialogue,5,琉璃,為什麼……選擇射在了外面呢……？,練習室,琉璃立繪2,end,,黑屏轉場,,a08_dialogue_5,
a08_dialogue,6,琉璃,明明只差一步就能讓我因為高潮而將我淨化了,,,,,,,a08_dialogue_6,
a08_dialogue,7,玩家,我……雖然透過影像知道過去的琉璃有多麼努力和痛苦,,,,,,,a08_dialogue_7,
a08_dialogue,8,玩家,但是！即便如此對我而言、我所熟知的琉璃是眼前的你,,,,,,,a08_dialogue_8,
a08_dialogue,9,玩家,我想守護並支持的是那個不想讓琉璃感到痛苦而選擇另一條道路的你,,,,,,,a08_dialogue_9,
a08_dialogue,10,玩家,是你的努力才讓樂團沒有解散，並且再度重回舞台,,,,,,,a08_dialogue_10,
a08_dialogue,11,玩家,是你的努力才讓「琉璃」這個名字，成為人氣的樂團主唱,,,,,,,a08_dialogue_11,
a08_dialogue,12,玩家,這些都是我所看到，你對琉璃的溫柔之處,,,,,,,a08_dialogue_12,
a08_dialogue,13,玩家,因此我想支持的是那樣的你，是那個充滿自信氣勢又不輸人的琉璃,,,,,,,a08_dialogue_13,
a08_dialogue,14,玩家,並不是我放棄了原本的琉璃，而是我選擇了你,,,,,,,a08_dialogue_14,
a08_dialogue,15,玩家,就讓我背負著這樣的罪過，你就以琉璃的身分在舞台上發光發熱就行,,,,,,,a08_dialogue_15,
a08_dialogue,16,玩家,其它被病原體所感染的複製人我也會找方法讓他們恢復原狀，只要你能夠答應我不再感染周遭的其它人就好,,,,,,,a08_dialogue_16,
a08_dialogue,17,琉璃,……,,琉璃立繪3,,,,,a08_dialogue_17,
a08_dialogue,18,琉璃,你還真是個笨蛋,,,,,,,a08_dialogue_18,
a08_dialogue,19,琉璃,我知道了，既然這是你的選擇，我就答應你吧！,,,,,,,a08_dialogue_19,
a08_dialogue,20,琉璃,跟複製人相處可沒你想的容易喔……？尤其還有一大堆的善後處理需要弄,,,,,,,a08_dialogue_20,
a08_dialogue,21,玩家,哼！可別小看你的愛人，我可不會永遠被你觸手給壓得死死的,,,,,,,a08_dialogue_21,
a08_dialogue,22,琉璃,嗯……謝謝你,黑背景,None,,,黑屏轉場,,a08_dialogue_22,
a08_dialogue,23,琉璃,（也謝謝你選擇了我）,,,,,,,a08_dialogue_23,
a08_dialogue,24,琉璃,（即便琉璃已經受到了不少傷害，但我相信如果有你在身邊……肯定沒問題的！）,,,,,,,a08_dialogue_24,
a08_dialogue,25,琉璃,（我也會背負著｢琉璃｣這個名字，努力的活下去的……）,,,,,,END2,a08_dialogue_25,
