event_ID,order,figure,dialogue,background,figure_show,BGM,sfx,vfx,next_event,UID
a02_dialogue,59,琉璃,不行，去了……,,,,,,,a02_dialogue_59
a02_dialogue,60,系統,觸手不斷的刺激讓琉璃承受不住快感達到了高潮,,,,,,,a02_dialogue_60
a02_dialogue,61,系統,並因為內部強烈的收縮將觸手給推了出來,,,,,,,a02_dialogue_61
a02_dialogue,62,系統,而觸手也因為滿足完了主人跟著縮了回去,,,,,,a03_dialogue,a02_dialogue_62
a03_dialogue,1,琉璃,好舒服……,練習室,琉璃立繪,,,,,a03_dialogue_1
a03_dialogue,2,琉璃,不行，快感停不下來……,,,,,,,a03_dialogue_2
a03_dialogue,3,系統,觸手解除了琉璃的束縛並收了回去,,,,,,,a03_dialogue_3
a03_dialogue,4,系統,只留下恢復樣貌的琉璃在原地,,,,,,,a03_dialogue_4
a03_dialogue,5,系統,並因為快感臉上露出了恍惚的表情,,,,,,,a03_dialogue_5
a03_dialogue,6,系統,而纏繞著玩家的觸手也跟著解了開來……,,,,,,,a03_dialogue_6
